"Date","Time","Open","High","Low","Close","Volume"
01/07/2019,1418,146.96,147,146.85,146.9,65063
01/07/2019,1419,146.9,146.91,146.73,146.84,59874
01/07/2019,1420,146.84,147,146.83,146.98,43865
01/07/2019,1421,147,147.02,146.83,146.91,50757
01/07/2019,1422,146.9,147.02,146.9,146.98,43373
01/07/2019,1423,146.98,147.03,146.9,146.93,38069
01/07/2019,1424,146.93,146.94,146.72,146.72,60229
01/07/2019,1425,146.74,146.74,146.66,146.7,60831
01/07/2019,1426,146.69,146.71,146.54,146.61,90444
01/07/2019,1427,146.6,146.72,146.59,146.7,59498
01/07/2019,1428,146.7,146.73,146.61,146.65,64918
01/07/2019,1429,146.66,146.68,146.57,146.58,56060
01/07/2019,1430,146.57,146.64,146.43,146.53,116985
01/07/2019,1431,146.55,146.58,146.43,146.56,66295
01/07/2019,1432,146.56,146.61,146.48,146.49,47398
01/07/2019,1433,146.5,146.59,146.44,146.44,48323
01/07/2019,1434,146.44,146.45,146.21,146.31,136655
01/07/2019,1435,146.3,146.4,146.27,146.38,57380
01/07/2019,1436,146.38,146.38,146.25,146.29,63874
01/07/2019,1437,146.29,146.36,146.26,146.29,42625
01/07/2019,1438,146.29,146.3,146.21,146.29,79733
01/07/2019,1439,146.29,146.32,146.21,146.27,42212
01/07/2019,1440,146.27,146.4,146.26,146.34,69030
01/07/2019,1441,146.31,146.54,146.3,146.54,132174
01/07/2019,1442,146.55,146.69,146.54,146.67,111788
01/07/2019,1443,146.67,146.83,146.66,146.72,118192
01/07/2019,1444,146.72,146.78,146.63,146.67,70990
01/07/2019,1445,146.68,146.68,146.51,146.57,75015
01/07/2019,1446,146.57,146.6,146.46,146.47,43581
01/07/2019,1447,146.48,146.57,146.45,146.54,37015
01/07/2019,1448,146.56,146.6,146.5,146.56,55578
01/07/2019,1449,146.56,146.71,146.55,146.66,53990
01/07/2019,1450,146.65,146.68,146.59,146.66,35674
01/07/2019,1451,146.65,146.78,146.61,146.73,58320
01/07/2019,1452,146.74,146.76,146.48,146.58,97552
